traffic,weather,vehicle,area,distance_category,total_orders,avg_delivery_time,median_delivery_time,slow_delivery_rate,avg_distance_km
Low,Cloudy,Motorcycle,Metropolitan,Long,262,142.9,130.0,36.26,12.3
Low,Cloudy,Motorcycle,Metropolitan,Medium,166,91.97,90.0,0.0,8.38
Low,Cloudy,Motorcycle,Metropolitan,Short,451,94.14,95.0,0.0,2.62
Low,Cloudy,Motorcycle,Metropolitan,Very Long,198,143.33,135.0,35.86,84.15
Low,Cloudy,Motorcycle,Other,Long,10,145.5,122.5,40.0,12.24
Low,Cloudy,Motorcycle,Other,Medium,9,82.11,80.0,0.0,8.86
Low,Cloudy,Motorcycle,Other,Short,18,87.56,82.5,0.0,2.54
Low,Cloudy,Motorcycle,Other,Very Long,2,142.5,142.5,50.0,20.18
Low,Cloudy,Motorcycle,Urban,Long,63,136.57,130.0,26.98,12.13
Low,Cloudy,Motorcycle,Urban,Medium,57,80.35,85.0,0.0,8.31
Low,Cloudy,Motorcycle,Urban,Short,182,89.48,90.0,0.0,2.52
Low,Cloudy,Motorcycle,Urban,Very Long,52,139.17,122.5,36.54,192.81
Low,Cloudy,Scooter,Metropolitan,Long,149,137.02,135.0,24.83,12.03
Low,Cloudy,Scooter,Metropolitan,Medium,83,78.17,80.0,0.0,8.41
Low,Cloudy,Scooter,Metropolitan,Short,214,77.1,80.0,0.0,2.78
Low,Cloudy,Scooter,Metropolitan,Very Long,117,139.03,140.0,25.64,112.97
Low,Cloudy,Scooter,Other,Long,2,137.5,137.5,0.0,13.07
Low,Cloudy,Scooter,Other,Medium,7,85.71,85.0,0.0,7.94
Low,Cloudy,Scooter,Other,Short,18,77.22,75.0,0.0,2.72
Low,Cloudy,Scooter,Other,Very Long,1,130.0,130.0,0.0,19.69
Low,Cloudy,Scooter,Urban,Long,40,129.43,130.0,12.5,12.23
Low,Cloudy,Scooter,Urban,Medium,43,71.86,75.0,0.0,8.24
Low,Cloudy,Scooter,Urban,Short,149,72.87,75.0,0.0,2.68
Low,Cloudy,Scooter,Urban,Very Long,27,129.48,130.0,11.11,431.1
Low,Cloudy,Van,Metropolitan,Long,31,144.65,140.0,32.26,12.49
Low,Cloudy,Van,Metropolitan,Medium,25,77.28,80.0,0.0,8.49
Low,Cloudy,Van,Metropolitan,Short,58,76.76,80.0,0.0,2.65
Low,Cloudy,Van,Metropolitan,Very Long,27,147.63,145.0,33.33,18.21
Low,Cloudy,Van,Other,Long,1,23.0,23.0,0.0,12.24
Low,Cloudy,Van,Other,Medium,2,65.0,65.0,0.0,9.25
Low,Cloudy,Van,Other,Short,2,87.5,87.5,0.0,1.56
Low,Cloudy,Van,Other,Very Long,2,102.5,102.5,0.0,18.15
Low,Cloudy,Van,Urban,Long,12,128.75,132.5,0.0,12.09
Low,Cloudy,Van,Urban,Medium,5,80.0,85.0,0.0,8.64
Low,Cloudy,Van,Urban,Short,36,68.61,75.0,0.0,2.52
Low,Cloudy,Van,Urban,Very Long,4,157.5,157.5,50.0,17.77
Low,Fog,Motorcycle,Metropolitan,Long,256,144.26,140.0,41.02,12.13
Low,Fog,Motorcycle,Metropolitan,Medium,137,96.24,95.0,0.0,8.53
Low,Fog,Motorcycle,Metropolitan,Short,502,92.11,95.0,0.0,2.69
Low,Fog,Motorcycle,Metropolitan,Very Long,197,143.14,135.0,40.1,165.14
Low,Fog,Motorcycle,Other,Long,9,147.78,125.0,44.44,12.4
Low,Fog,Motorcycle,Other,Medium,6,83.33,85.0,0.0,7.97
Low,Fog,Motorcycle,Other,Short,23,87.83,85.0,0.0,2.68
Low,Fog,Motorcycle,Other,Very Long,6,158.33,142.5,33.33,18.96
Low,Fog,Motorcycle,Urban,Long,49,132.04,120.0,34.69,12.09
Low,Fog,Motorcycle,Urban,Medium,59,91.05,90.0,0.0,8.54
Low,Fog,Motorcycle,Urban,Short,197,86.1,85.0,0.0,2.61
Low,Fog,Motorcycle,Urban,Very Long,52,130.33,120.0,26.92,256.72
Low,Fog,Scooter,Metropolitan,Long,146,133.7,135.0,26.71,12.33
Low,Fog,Scooter,Metropolitan,Medium,85,74.06,80.0,0.0,8.36
Low,Fog,Scooter,Metropolitan,Short,222,75.09,80.0,0.0,2.63
Low,Fog,Scooter,Metropolitan,Very Long,106,135.1,135.0,19.81,99.5
Low,Fog,Scooter,Other,Long,7,127.14,125.0,0.0,11.96
Low,Fog,Scooter,Other,Medium,9,65.0,60.0,0.0,8.49
Low,Fog,Scooter,Other,Short,19,81.05,85.0,0.0,2.92
Low,Fog,Scooter,Urban,Long,30,128.73,130.0,20.0,12.13
Low,Fog,Scooter,Urban,Medium,38,72.95,75.0,0.0,8.64
Low,Fog,Scooter,Urban,Short,135,70.39,75.0,0.0,2.68
Low,Fog,Scooter,Urban,Very Long,24,142.92,142.5,25.0,19.13
Low,Fog,Van,Metropolitan,Long,37,129.86,135.0,16.22,12.31
Low,Fog,Van,Metropolitan,Medium,18,74.39,75.0,0.0,8.52
Low,Fog,Van,Metropolitan,Short,59,74.39,80.0,0.0,2.67
Low,Fog,Van,Metropolitan,Very Long,28,143.39,137.5,28.57,18.03
Low,Fog,Van,Other,Long,1,120.0,120.0,0.0,10.26
Low,Fog,Van,Other,Medium,2,72.5,72.5,0.0,8.48
Low,Fog,Van,Other,Short,3,90.0,90.0,0.0,2.03
Low,Fog,Van,Urban,Long,9,137.78,140.0,22.22,12.53
Low,Fog,Van,Urban,Medium,11,74.55,70.0,0.0,8.77
Low,Fog,Van,Urban,Short,31,67.42,75.0,0.0,3.15
Low,Fog,Van,Urban,Very Long,7,114.57,130.0,0.0,18.48
Low,Sandstorms,Motorcycle,Metropolitan,Long,232,99.13,105.0,0.0,12.18
Low,Sandstorms,Motorcycle,Metropolitan,Medium,162,108.49,115.0,3.7,8.4
Low,Sandstorms,Motorcycle,Metropolitan,Short,499,109.18,115.0,3.61,2.64
Low,Sandstorms,Motorcycle,Metropolitan,Very Long,162,97.6,100.0,0.62,120.4
Low,Sandstorms,Motorcycle,Other,Long,6,80.0,77.5,0.0,12.04
Low,Sandstorms,Motorcycle,Other,Medium,11,109.55,105.0,0.0,8.19
Low,Sandstorms,Motorcycle,Other,Short,19,110.79,115.0,5.26,2.58
Low,Sandstorms,Motorcycle,Other,Very Long,10,95.5,87.5,0.0,17.87
Low,Sandstorms,Motorcycle,Urban,Long,85,90.71,90.0,0.0,12.4
Low,Sandstorms,Motorcycle,Urban,Medium,48,89.44,90.0,0.0,8.47
Low,Sandstorms,Motorcycle,Urban,Short,179,96.77,100.0,1.12,2.53
Low,Sandstorms,Motorcycle,Urban,Very Long,70,90.0,95.0,0.0,18.94
Low,Sandstorms,Scooter,Metropolitan,Long,139,90.19,90.0,0.0,12.45
Low,Sandstorms,Scooter,Metropolitan,Medium,70,95.47,95.0,0.0,8.32
Low,Sandstorms,Scooter,Metropolitan,Short,254,96.35,100.0,0.0,2.76
Low,Sandstorms,Scooter,Metropolitan,Very Long,79,92.58,90.0,0.0,249.35
Low,Sandstorms,Scooter,Other,Long,13,71.69,85.0,0.0,12.17
Low,Sandstorms,Scooter,Other,Medium,8,74.5,75.0,0.0,7.88
Low,Sandstorms,Scooter,Other,Short,14,86.79,97.5,0.0,3.06
Low,Sandstorms,Scooter,Other,Very Long,6,94.17,90.0,0.0,18.59
Low,Sandstorms,Scooter,Urban,Long,62,82.13,85.0,0.0,12.18
Low,Sandstorms,Scooter,Urban,Medium,33,90.82,95.0,0.0,8.23
Low,Sandstorms,Scooter,Urban,Short,134,81.37,75.0,0.0,2.64
Low,Sandstorms,Scooter,Urban,Very Long,32,74.59,75.0,0.0,18.64
Low,Sandstorms,Van,Metropolitan,Long,33,82.85,85.0,0.0,12.17
Low,Sandstorms,Van,Metropolitan,Medium,15,97.53,90.0,0.0,8.49
Low,Sandstorms,Van,Metropolitan,Short,65,97.38,105.0,0.0,2.75
Low,Sandstorms,Van,Metropolitan,Very Long,21,88.67,95.0,0.0,338.98
Low,Sandstorms,Van,Other,Medium,1,75.0,75.0,0.0,9.31
Low,Sandstorms,Van,Other,Short,1,70.0,70.0,0.0,1.51
Low,Sandstorms,Van,Other,Very Long,4,85.0,87.5,0.0,18.76
Low,Sandstorms,Van,Urban,Long,11,77.09,75.0,0.0,12.29
Low,Sandstorms,Van,Urban,Medium,8,91.38,95.0,0.0,7.98
Low,Sandstorms,Van,Urban,Short,27,74.7,70.0,0.0,2.45
Low,Sandstorms,Van,Urban,Very Long,7,72.86,75.0,0.0,18.11
Low,Stormy,Motorcycle,Metropolitan,Long,238,100.68,105.0,0.0,12.26
Low,Stormy,Motorcycle,Metropolitan,Medium,177,113.47,115.0,5.65,8.54
Low,Stormy,Motorcycle,Metropolitan,Short,523,109.5,115.0,3.82,2.69
Low,Stormy,Motorcycle,Metropolitan,Very Long,177,98.19,100.0,0.0,113.25
Low,Stormy,Motorcycle,Other,Long,11,107.27,105.0,0.0,12.51
Low,Stormy,Motorcycle,Other,Medium,5,93.0,90.0,0.0,8.63
Low,Stormy,Motorcycle,Other,Short,21,93.43,100.0,0.0,2.7
Low,Stormy,Motorcycle,Other,Very Long,11,104.55,105.0,0.0,18.45
Low,Stormy,Motorcycle,Urban,Long,102,92.69,95.0,0.0,12.15
Low,Stormy,Motorcycle,Urban,Medium,45,93.13,105.0,0.0,8.49
Low,Stormy,Motorcycle,Urban,Short,192,95.67,100.0,1.04,2.61
Low,Stormy,Motorcycle,Urban,Very Long,67,83.21,85.0,0.0,167.43
Low,Stormy,Scooter,Metropolitan,Long,117,96.22,90.0,0.0,12.23
Low,Stormy,Scooter,Metropolitan,Medium,88,97.36,95.0,0.0,8.32
Low,Stormy,Scooter,Metropolitan,Short,269,96.43,100.0,0.0,2.67
Low,Stormy,Scooter,Metropolitan,Very Long,90,91.37,90.0,0.0,150.46
Low,Stormy,Scooter,Other,Long,11,65.82,60.0,0.0,12.23
Low,Stormy,Scooter,Other,Medium,5,73.0,75.0,0.0,8.54
Low,Stormy,Scooter,Other,Short,14,92.79,85.0,0.0,2.74
Low,Stormy,Scooter,Other,Very Long,9,86.67,85.0,0.0,18.53
Low,Stormy,Scooter,Urban,Long,55,80.93,75.0,0.0,12.57
Low,Stormy,Scooter,Urban,Medium,28,91.96,92.5,0.0,8.2
Low,Stormy,Scooter,Urban,Short,117,89.26,90.0,0.0,2.64
Low,Stormy,Scooter,Urban,Very Long,41,84.8,85.0,0.0,18.62
Low,Stormy,Van,Metropolitan,Long,31,89.45,85.0,0.0,12.51
Low,Stormy,Van,Metropolitan,Medium,19,78.21,75.0,0.0,8.46
Low,Stormy,Van,Metropolitan,Short,66,100.32,105.0,0.0,2.62
Low,Stormy,Van,Metropolitan,Very Long,27,92.56,90.0,0.0,209.44
Low,Stormy,Van,Other,Long,3,95.0,95.0,0.0,11.81
Low,Stormy,Van,Other,Medium,2,102.5,102.5,0.0,8.46
Low,Stormy,Van,Other,Short,1,75.0,75.0,0.0,2.93
Low,Stormy,Van,Other,Very Long,1,115.0,115.0,0.0,20.29
Low,Stormy,Van,Urban,Long,11,93.18,75.0,0.0,12.19
Low,Stormy,Van,Urban,Medium,7,80.29,85.0,0.0,8.78
Low,Stormy,Van,Urban,Short,23,82.04,80.0,0.0,2.41
Low,Stormy,Van,Urban,Very Long,15,93.67,90.0,0.0,18.65
Low,Sunny,Motorcycle,Metropolitan,Long,227,132.2,130.0,14.98,12.3
Low,Sunny,Motorcycle,Metropolitan,Medium,137,94.07,95.0,0.0,8.46
Low,Sunny,Motorcycle,Metropolitan,Short,475,93.27,95.0,0.0,2.76
Low,Sunny,Motorcycle,Metropolitan,Very Long,150,132.4,130.0,22.67,245.65
Low,Sunny,Motorcycle,Other,Long,14,107.36,130.0,0.0,12.3
Low,Sunny,Motorcycle,Other,Medium,3,78.33,85.0,0.0,8.25
Low,Sunny,Motorcycle,Other,Short,17,87.06,80.0,0.0,2.52
Low,Sunny,Motorcycle,Other,Very Long,6,107.5,100.0,0.0,18.0
Low,Sunny,Motorcycle,Urban,Long,57,123.05,130.0,5.26,12.55
Low,Sunny,Motorcycle,Urban,Medium,61,81.66,80.0,0.0,8.35
Low,Sunny,Motorcycle,Urban,Short,192,79.2,75.0,0.0,2.55
Low,Sunny,Motorcycle,Urban,Very Long,49,118.22,120.0,8.16,138.07
Low,Sunny,Scooter,Metropolitan,Long,146,139.83,140.0,32.19,12.27
Low,Sunny,Scooter,Metropolitan,Medium,62,78.11,85.0,0.0,8.44
Low,Sunny,Scooter,Metropolitan,Short,246,83.15,85.0,0.0,2.62
Low,Sunny,Scooter,Metropolitan,Very Long,99,135.81,135.0,32.32,191.74
Low,Sunny,Scooter,Other,Long,5,115.0,115.0,0.0,11.6
Low,Sunny,Scooter,Other,Medium,5,81.0,85.0,0.0,8.28
Low,Sunny,Scooter,Other,Short,16,71.94,75.0,0.0,2.87
Low,Sunny,Scooter,Other,Very Long,3,117.33,145.0,33.33,17.64
Low,Sunny,Scooter,Urban,Long,35,125.4,125.0,28.57,12.38
Low,Sunny,Scooter,Urban,Medium,47,78.34,80.0,0.0,8.38
Low,Sunny,Scooter,Urban,Short,123,77.31,80.0,0.0,2.51
Low,Sunny,Scooter,Urban,Very Long,31,114.1,115.0,12.9,128.95
Low,Sunny,Van,Metropolitan,Long,36,132.42,137.5,30.56,11.92
Low,Sunny,Van,Metropolitan,Medium,23,80.65,90.0,0.0,8.48
Low,Sunny,Van,Metropolitan,Short,58,85.16,90.0,0.0,2.65
Low,Sunny,Van,Metropolitan,Very Long,31,123.03,125.0,19.35,18.4
Low,Sunny,Van,Other,Short,3,78.33,90.0,0.0,3.04
Low,Sunny,Van,Urban,Long,5,129.0,135.0,0.0,11.88
Low,Sunny,Van,Urban,Medium,7,81.0,85.0,0.0,7.88
Low,Sunny,Van,Urban,Short,25,74.4,75.0,0.0,2.27
Low,Sunny,Van,Urban,Very Long,7,129.29,135.0,0.0,18.36
Low,Windy,Motorcycle,Metropolitan,Long,218,100.61,105.0,0.0,12.2
Low,Windy,Motorcycle,Metropolitan,Medium,171,108.61,115.0,6.43,8.48
Low,Windy,Motorcycle,Metropolitan,Short,473,109.58,115.0,5.71,2.62
Low,Windy,Motorcycle,Metropolitan,Very Long,150,102.89,105.0,0.0,18.46
Low,Windy,Motorcycle,Other,Long,11,97.73,100.0,0.0,12.91
Low,Windy,Motorcycle,Other,Medium,11,92.27,95.0,0.0,8.72
Low,Windy,Motorcycle,Other,Short,22,83.55,82.5,4.55,2.49
Low,Windy,Motorcycle,Other,Very Long,6,104.17,107.5,0.0,17.91
Low,Windy,Motorcycle,Urban,Long,76,92.16,90.0,0.0,12.03
Low,Windy,Motorcycle,Urban,Medium,57,97.32,100.0,5.26,8.49
Low,Windy,Motorcycle,Urban,Short,149,100.82,110.0,3.36,2.9
Low,Windy,Motorcycle,Urban,Very Long,74,94.84,95.0,0.0,146.72
Low,Windy,Scooter,Metropolitan,Long,129,92.22,90.0,0.0,12.27
Low,Windy,Scooter,Metropolitan,Medium,75,93.39,95.0,0.0,8.36
Low,Windy,Scooter,Metropolitan,Short,281,97.74,100.0,0.0,2.64
Low,Windy,Scooter,Metropolitan,Very Long,93,93.9,90.0,0.0,143.88
Low,Windy,Scooter,Other,Long,6,63.33,60.0,0.0,12.21
Low,Windy,Scooter,Other,Medium,10,86.0,75.0,0.0,8.26
Low,Windy,Scooter,Other,Short,12,83.92,67.5,0.0,2.55
Low,Windy,Scooter,Other,Very Long,6,75.17,75.0,0.0,1140.59
Low,Windy,Scooter,Urban,Long,41,78.9,75.0,0.0,12.58
Low,Windy,Scooter,Urban,Medium,32,80.81,82.5,0.0,8.34
Low,Windy,Scooter,Urban,Short,103,86.42,80.0,0.0,2.63
Low,Windy,Scooter,Urban,Very Long,34,78.12,77.5,0.0,212.78
Low,Windy,Van,Metropolitan,Long,19,90.63,90.0,0.0,12.31
Low,Windy,Van,Metropolitan,Medium,17,88.24,75.0,0.0,8.66
Low,Windy,Van,Metropolitan,Short,58,101.69,110.0,0.0,2.75
Low,Windy,Van,Metropolitan,Very Long,19,87.89,85.0,0.0,367.22
Low,Windy,Van,Other,Short,4,80.0,65.0,0.0,3.45
Low,Windy,Van,Other,Very Long,2,75.0,75.0,0.0,3445.96
Low,Windy,Van,Urban,Long,15,91.33,80.0,0.0,11.46
Low,Windy,Van,Urban,Medium,7,85.71,95.0,0.0,8.4
Low,Windy,Van,Urban,Short,25,89.44,85.0,0.0,2.56
Low,Windy,Van,Urban,Very Long,8,78.75,75.0,0.0,18.74
Medium,Cloudy,Motorcycle,Metropolitan,Long,248,176.02,180.0,71.77,12.14
Medium,Cloudy,Motorcycle,Metropolitan,Medium,243,112.07,120.0,7.82,7.37
Medium,Cloudy,Motorcycle,Metropolitan,Short,91,109.15,120.0,7.69,4.59
Medium,Cloudy,Motorcycle,Metropolitan,Very Long,204,178.8,182.5,69.12,80.08
Medium,Cloudy,Motorcycle,Other,Long,6,190.0,200.0,83.33,12.87
Medium,Cloudy,Motorcycle,Other,Medium,10,92.4,95.0,0.0,7.37
Medium,Cloudy,Motorcycle,Other,Short,5,126.0,130.0,40.0,4.6
Medium,Cloudy,Motorcycle,Other,Very Long,2,212.5,212.5,100.0,17.1
Medium,Cloudy,Motorcycle,Semi-Urban,Very Long,1,230.0,230.0,100.0,19.62
Medium,Cloudy,Motorcycle,Urban,Long,51,170.27,180.0,64.71,12.37
Medium,Cloudy,Motorcycle,Urban,Medium,88,97.97,90.0,2.27,7.3
Medium,Cloudy,Motorcycle,Urban,Short,27,85.37,80.0,0.0,4.58
Medium,Cloudy,Motorcycle,Urban,Very Long,33,186.82,190.0,75.76,18.17
Medium,Cloudy,Scooter,Metropolitan,Long,167,167.04,170.0,61.68,12.16
Medium,Cloudy,Scooter,Metropolitan,Medium,126,81.1,82.5,0.0,7.5
Medium,Cloudy,Scooter,Metropolitan,Short,45,78.67,80.0,0.0,4.61
Medium,Cloudy,Scooter,Metropolitan,Very Long,115,165.43,170.0,59.13,18.47
Medium,Cloudy,Scooter,Other,Long,3,168.33,170.0,66.67,13.38
Medium,Cloudy,Scooter,Other,Medium,6,70.0,70.0,0.0,8.13
Medium,Cloudy,Scooter,Other,Short,2,72.5,72.5,0.0,4.54
Medium,Cloudy,Scooter,Other,Very Long,1,155.0,155.0,0.0,20.18
Medium,Cloudy,Scooter,Urban,Long,27,159.41,155.0,44.44,12.09
Medium,Cloudy,Scooter,Urban,Medium,80,70.89,75.0,0.0,7.38
Medium,Cloudy,Scooter,Urban,Short,20,75.25,85.0,0.0,4.62
Medium,Cloudy,Scooter,Urban,Very Long,24,152.88,160.0,41.67,17.91
Medium,Cloudy,Van,Metropolitan,Long,48,167.71,170.0,56.25,12.2
Medium,Cloudy,Van,Metropolitan,Medium,33,73.7,75.0,0.0,7.74
Medium,Cloudy,Van,Metropolitan,Short,13,77.38,80.0,0.0,4.6
Medium,Cloudy,Van,Metropolitan,Very Long,23,178.26,175.0,73.91,19.06
Medium,Cloudy,Van,Other,Medium,3,81.67,75.0,0.0,8.2
Medium,Cloudy,Van,Urban,Long,12,172.08,180.0,58.33,12.11
Medium,Cloudy,Van,Urban,Medium,16,78.12,82.5,0.0,7.28
Medium,Cloudy,Van,Urban,Short,5,80.0,80.0,0.0,4.61
Medium,Cloudy,Van,Urban,Very Long,1,135.0,135.0,0.0,17.07
Medium,Fog,Motorcycle,Metropolitan,Long,269,179.86,185.0,78.81,12.28
Medium,Fog,Motorcycle,Metropolitan,Medium,261,108.99,110.0,4.6,7.47
Medium,Fog,Motorcycle,Metropolitan,Short,71,106.52,110.0,1.41,4.59
Medium,Fog,Motorcycle,Metropolitan,Very Long,179,171.35,185.0,69.27,56.23
Medium,Fog,Motorcycle,Other,Long,4,143.75,157.5,50.0,12.66
Medium,Fog,Motorcycle,Other,Medium,14,85.57,72.5,0.0,7.82
Medium,Fog,Motorcycle,Other,Very Long,2,192.5,192.5,100.0,16.77
Medium,Fog,Motorcycle,Semi-Urban,Long,1,240.0,240.0,100.0,10.87
Medium,Fog,Motorcycle,Semi-Urban,Very Long,2,44.0,44.0,0.0,16.68
Medium,Fog,Motorcycle,Urban,Long,47,173.89,180.0,72.34,12.45
Medium,Fog,Motorcycle,Urban,Medium,102,89.19,85.0,0.98,7.4
Medium,Fog,Motorcycle,Urban,Short,27,85.33,90.0,0.0,4.6
Medium,Fog,Motorcycle,Urban,Very Long,39,162.74,170.0,56.41,146.51
Medium,Fog,Scooter,Metropolitan,Long,169,165.46,175.0,65.09,12.21
Medium,Fog,Scooter,Metropolitan,Medium,136,77.84,80.0,0.0,7.52
Medium,Fog,Scooter,Metropolitan,Short,40,76.15,80.0,0.0,4.6
Medium,Fog,Scooter,Metropolitan,Very Long,120,156.92,165.0,52.5,18.57
Medium,Fog,Scooter,Other,Long,2,152.5,152.5,50.0,10.73
Medium,Fog,Scooter,Other,Medium,6,70.0,75.0,0.0,7.96
Medium,Fog,Scooter,Other,Very Long,2,160.0,160.0,50.0,18.52
Medium,Fog,Scooter,Urban,Long,24,150.04,157.5,41.67,12.5
Medium,Fog,Scooter,Urban,Medium,79,70.78,75.0,0.0,7.52
Medium,Fog,Scooter,Urban,Short,21,76.67,80.0,0.0,4.6
Medium,Fog,Scooter,Urban,Very Long,25,146.52,150.0,44.0,468.95
Medium,Fog,Van,Metropolitan,Long,32,150.78,162.5,50.0,12.27
Medium,Fog,Van,Metropolitan,Medium,36,72.17,80.0,0.0,7.52
Medium,Fog,Van,Metropolitan,Short,14,83.36,90.0,0.0,4.61
Medium,Fog,Van,Metropolitan,Very Long,30,168.63,175.0,60.0,18.37
Medium,Fog,Van,Other,Long,1,150.0,150.0,0.0,10.56
Medium,Fog,Van,Other,Medium,2,70.0,70.0,0.0,7.7
Medium,Fog,Van,Other,Short,1,75.0,75.0,0.0,4.66
Medium,Fog,Van,Urban,Long,7,156.71,160.0,42.86,11.86
Medium,Fog,Van,Urban,Medium,21,78.29,80.0,0.0,7.17
Medium,Fog,Van,Urban,Short,6,85.0,85.0,0.0,4.6
Medium,Fog,Van,Urban,Very Long,6,169.17,160.0,50.0,18.22
Medium,Sandstorms,Motorcycle,Metropolitan,Long,263,156.34,150.0,43.73,12.35
Medium,Sandstorms,Motorcycle,Metropolitan,Medium,275,129.84,135.0,20.36,7.4
Medium,Sandstorms,Motorcycle,Metropolitan,Short,85,127.53,135.0,16.47,4.57
Medium,Sandstorms,Motorcycle,Metropolitan,Very Long,177,149.5,150.0,42.37,18.48
Medium,Sandstorms,Motorcycle,Other,Long,6,165.83,172.5,66.67,12.38
Medium,Sandstorms,Motorcycle,Other,Medium,7,132.86,140.0,14.29,7.78
Medium,Sandstorms,Motorcycle,Other,Short,4,94.25,100.0,0.0,4.64
Medium,Sandstorms,Motorcycle,Other,Very Long,4,143.75,120.0,25.0,19.3
Medium,Sandstorms,Motorcycle,Semi-Urban,Very Long,1,240.0,240.0,100.0,19.76
Medium,Sandstorms,Motorcycle,Urban,Long,58,123.38,120.0,20.69,12.25
Medium,Sandstorms,Motorcycle,Urban,Medium,80,111.9,122.5,8.75,7.46
Medium,Sandstorms,Motorcycle,Urban,Short,26,126.35,132.5,11.54,4.58
Medium,Sandstorms,Motorcycle,Urban,Very Long,38,134.42,125.0,31.58,154.17
Medium,Sandstorms,Scooter,Metropolitan,Long,111,124.44,125.0,16.22,12.26
Medium,Sandstorms,Scooter,Metropolitan,Medium,168,127.4,130.0,7.74,7.55
Medium,Sandstorms,Scooter,Metropolitan,Short,58,124.09,135.0,5.17,4.6
Medium,Sandstorms,Scooter,Metropolitan,Very Long,103,119.82,120.0,14.56,51.07
Medium,Sandstorms,Scooter,Other,Long,6,120.83,120.0,16.67,12.26
Medium,Sandstorms,Scooter,Other,Medium,1,130.0,130.0,0.0,6.23
Medium,Sandstorms,Scooter,Other,Short,1,27.0,27.0,0.0,4.53
Medium,Sandstorms,Scooter,Other,Very Long,2,145.0,145.0,0.0,18.22
Medium,Sandstorms,Scooter,Urban,Long,28,107.18,112.5,10.71,12.26
Medium,Sandstorms,Scooter,Urban,Medium,42,133.45,132.5,4.76,7.41
Medium,Sandstorms,Scooter,Urban,Short,14,133.21,127.5,7.14,4.6
Medium,Sandstorms,Scooter,Urban,Very Long,28,108.39,112.5,3.57,18.87
Medium,Sandstorms,Van,Metropolitan,Long,39,138.85,135.0,20.51,12.21
Medium,Sandstorms,Van,Metropolitan,Medium,39,130.08,130.0,10.26,7.41
Medium,Sandstorms,Van,Metropolitan,Short,10,119.5,122.5,0.0,4.61
Medium,Sandstorms,Van,Metropolitan,Very Long,22,122.64,115.0,9.09,245.88
Medium,Sandstorms,Van,Other,Medium,2,140.0,140.0,0.0,6.82
Medium,Sandstorms,Van,Other,Short,1,150.0,150.0,0.0,4.56
Medium,Sandstorms,Van,Other,Very Long,1,105.0,105.0,0.0,6874.79
Medium,Sandstorms,Van,Urban,Long,13,132.31,130.0,23.08,11.94
Medium,Sandstorms,Van,Urban,Medium,7,130.71,130.0,14.29,8.28
Medium,Sandstorms,Van,Urban,Short,4,126.25,125.0,0.0,4.6
Medium,Sandstorms,Van,Urban,Very Long,7,107.57,135.0,14.29,732.91
Medium,Stormy,Motorcycle,Metropolitan,Long,270,150.5,150.0,41.85,12.22
Medium,Stormy,Motorcycle,Metropolitan,Medium,293,125.11,135.0,16.38,7.51
Medium,Stormy,Motorcycle,Metropolitan,Short,72,128.78,130.0,16.67,4.61
Medium,Stormy,Motorcycle,Metropolitan,Very Long,184,148.27,150.0,39.13,142.03
Medium,Stormy,Motorcycle,Other,Long,6,155.0,157.5,50.0,11.74
Medium,Stormy,Motorcycle,Other,Medium,7,100.0,100.0,14.29,7.04
Medium,Stormy,Motorcycle,Other,Short,1,110.0,110.0,0.0,4.66
Medium,Stormy,Motorcycle,Other,Very Long,4,148.75,142.5,25.0,17.88
Medium,Stormy,Motorcycle,Semi-Urban,Long,2,242.5,242.5,100.0,10.76
Medium,Stormy,Motorcycle,Urban,Long,59,139.1,140.0,33.9,12.17
Medium,Stormy,Motorcycle,Urban,Medium,86,112.16,120.0,11.63,7.28
Medium,Stormy,Motorcycle,Urban,Short,21,123.1,130.0,0.0,4.6
Medium,Stormy,Motorcycle,Urban,Very Long,32,124.78,130.0,34.38,18.68
Medium,Stormy,Scooter,Metropolitan,Long,146,123.45,125.0,19.18,12.28
Medium,Stormy,Scooter,Metropolitan,Medium,165,129.58,135.0,9.7,7.61
Medium,Stormy,Scooter,Metropolitan,Short,49,127.33,135.0,10.2,4.61
Medium,Stormy,Scooter,Metropolitan,Very Long,107,131.33,130.0,24.3,135.11
Medium,Stormy,Scooter,Other,Long,5,128.0,115.0,20.0,12.92
Medium,Stormy,Scooter,Other,Medium,6,132.5,137.5,0.0,8.12
Medium,Stormy,Scooter,Other,Short,2,81.0,81.0,0.0,4.55
Medium,Stormy,Scooter,Other,Very Long,4,133.75,132.5,50.0,17.76
Medium,Stormy,Scooter,Urban,Long,41,114.56,110.0,12.2,12.42
Medium,Stormy,Scooter,Urban,Medium,44,120.2,125.0,6.82,7.68
Medium,Stormy,Scooter,Urban,Short,14,132.14,130.0,7.14,4.59
Medium,Stormy,Scooter,Urban,Very Long,26,123.15,127.5,11.54,18.16
Medium,Stormy,Van,Metropolitan,Long,36,120.36,115.0,8.33,12.1
Medium,Stormy,Van,Metropolitan,Medium,36,136.53,140.0,11.11,7.47
Medium,Stormy,Van,Metropolitan,Short,10,139.5,140.0,10.0,4.62
Medium,Stormy,Van,Metropolitan,Very Long,19,122.84,125.0,15.79,250.21
Medium,Stormy,Van,Other,Medium,3,99.33,125.0,0.0,6.08
Medium,Stormy,Van,Other,Short,1,160.0,160.0,0.0,4.67
Medium,Stormy,Van,Urban,Long,11,125.0,130.0,27.27,12.1
